player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Benjamin_Mendy,128.0,104.0,5,2,1.23,18.0,1.03,0.0391,0.2778,0.1618,0.3333
Ben_Davies,309.0,143.0,5,2,2.16,2.0,1.0,0.0162,2.5,0.2842,0.0
Ben_Foster,476.0,143.0,4,1,3.33,15.0,1.03,0.0084,0.2667,0.4382,0.3333
Ben_Gibson,127.0,105.0,3,2,1.21,0.0,1.0,0.0236,0.0,0.1592,0.0
Ben_Godfrey,32.0,29.0,4,2,1.1,8.0,1.01,0.125,0.5,0.1447,0.1111
Ben_Johnson,2.0,64.0,3,2,0.03,0.0,1.0,1.5,0.0,0.004,0.0
Ben_Mee,352.0,143.0,5,2,2.46,29.0,1.05,0.0142,0.1724,0.3237,0.5556
Ben_Osborn,7.0,28.0,4,3,0.25,3.0,1.01,0.5714,1.3333,0.0329,0.1111
Beram_Kayal,61.0,105.0,4,3,0.58,0.0,1.0,0.0656,0.0,0.0763,0.0
Bernardo Mota_Veiga de Carvalho e Silva,352.0,104.0,7,3,3.38,14.0,1.02,0.0199,0.5,0.4447,0.2222
Bernardo_Costa Da Rosa,0.0,9.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernardo_Fernandes da Silva Junior,57.0,67.0,4,2,0.85,1.0,1.0,0.0702,4.0,0.1118,1.0E-4
Bernard_Anício Caldeira Duarte,148.0,67.0,6,3,2.21,17.0,1.03,0.0405,0.3529,0.2908,0.3333
Bernard_Ashley-Seal,0.0,20.0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernd_Leno,214.0,66.0,5,1,3.24,31.0,1.05,0.0234,0.1613,0.4263,0.5556
Billy_Gilmour,5.0,26.0,4,3,0.19,3.0,1.01,0.8,1.3333,0.025,0.1111
Billy_Sharp,40.0,28.0,5,4,1.43,24.0,1.04,0.125,0.2083,0.1882,0.4444
Birkir_Bjarnason,0.0,28.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bjorn_Engels,42.0,28.0,4,2,1.5,8.0,1.01,0.0952,0.5,0.1974,0.1111
Borja_González Tomás,2.0,3.0,5,4,0.67,2.0,1.0,2.5,2.5,0.0882,0.0
Brandon_Austin,0.0,21.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Brandon_Pierrick,1.0,12.0,4,3,0.08,0.0,1.0,4.0,0.0,0.0106,0.0
Brandon_Williams,39.0,23.0,4,2,1.7,13.0,1.02,0.1026,0.3077,0.2237,0.2222
Bruno André_Cavaco Jordao,0.0,7.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bruno Miguel_Borges Fernandes,38.0,5.0,8,3,7.6,38.0,1.06,0.2105,0.2105,1.0,0.6667
Bukayo_Saka,44.0,45.0,4,3,0.98,23.0,1.04,0.0909,0.1739,0.1289,0.4444
Callum_Hudson-Odoi,65.0,87.0,5,3,0.75,7.0,1.01,0.0769,0.7143,0.0987,0.1111
Callum_Robinson,33.0,28.0,5,3,1.18,2.0,1.0,0.1515,2.5,0.1553,0.0
Callum_Slattery,4.0,47.0,4,3,0.09,0.0,1.0,1.0,0.0,0.0119,0.0
Callum_Wilson,428.0,143.0,7,4,2.99,25.0,1.04,0.0164,0.28,0.3934,0.4444
Calum_Chambers,208.0,142.0,4,2,1.46,0.0,1.0,0.0192,0.0,0.1921,0.0
Caoimhin_Kelleher,0.0,28.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Carlos_Sánchez,16.0,67.0,4,3,0.24,0.0,1.0,0.25,0.0,0.0316,0.0
Carl_Jenkinson,6.0,119.0,4,2,0.05,0.0,1.0,0.6667,0.0,0.0066,0.0
Cenk_Tosun,135.0,83.0,5,4,1.63,4.0,1.01,0.037,1.25,0.2145,0.1111
